id,name
3350007,Krajská hygienická stanice Ústeckého kraje se sídlem v Ústí nad Labem
3350008,Krajská hygienická stanice Jihomoravského kraje se sídlem v Brně
3350009,Krajská hygienická stanice Královohradeckého kraje se sídlem v Hradci Králové
3350010,Krajská hygienická stanice Zlínského kraje se sídlem ve Zlíně
3350011,Krajská hygienická stanice Olomouckého kraje se sídlem v Olomouci
3350012,Hygienická stanice hlavního města Prahy se sídlem v Praze
3350013,Krajská hygienická stanice Pardubického kraje se sídlem v Pardubicích
3350014,Krajská hygienická stanice Karlovarského kraje se sídlem v Karlových Varech
3350015,Krajská hygienická stanice Plzeňského kraje se sídlem v Plzni
3350016,Krajská hygienická stanice Libereckého kraje se sídlem v Liberci
3350017,Krajská hygienická stanice kraje Vysočina se sídlem v Jihlavě
3350018,Krajská hygienická stanice Jihočeského kraje se sídlem v Českých Budějovicích
3350019,Koordinační středisko transplantací
3350021,Agentura pro zdravotnický výzkum ČR
3360001,Ministerstvo spravedlnosti
3360002,Obvodní soud pro Prahu 1
3360003,Obvodní soud pro Prahu 2
3360004,Obvodní soud pro Prahu 3
3360005,Obvodní soud pro Prahu 4
3360006,Obvodní soud pro Prahu 5
3360007,Obvodní soud pro Prahu 6
3360008,Obvodní soud pro Prahu 7
3360009,Obvodní soud pro Prahu 8
3360010,Obvodní soud pro Prahu 9
3360011,Obvodní soud pro Prahu 10
3360012,Okresní soud v Benešově
3360013,Okresní soud v Berouně
3360014,Okresní soud v Kladně
3360015,Okresní soud v Kolíně
3360016,Okresní soud v Kutné Hoře
3360017,Okresní soud v Mělníku
3360018,Okresní soud v Mladé Boleslavi
3360019,Okresní soud v Nymburce
3360020,Okresní soud Praha-východ
3360021,Okresní soud Praha-západ
3360022,Okresní soud v Příbrami
3360023,Okresní soud v Rakovníku
3360024,Okresní soud v Českých Budějovicích
3360025,Okresní soud v Českém Krumlově
3360026,Okresní soud v Jindřichově Hradci
3360027,Okresní soud v Pelhřimově
3360028,Okresní soud v Písku
3360029,Okresní soud v Prachaticích
3360030,Okresní soud ve Strakonicích
3360031,Okresní soud v Táboře
3360032,Okresní soud v Domažlicích
3360033,Okresní soud v Chebu
3360034,Okresní soud v Karlových Varech
3360035,Okresní soud v Klatovech
3360036,Okresní soud Plzeň-město
3360037,Okresní soud Plzeň-jih
3360038,Okresní soud Plzeň-sever
3360039,Okresní soud v Rokycanech
3360040,Okresní soud v Sokolově
3360041,Okresní soud v Tachově
3360042,Okresní soud v České Lípě
