id,name_short,name,name_long
366132,ÚOSS pro bydlení,Činn.ústř.org.stát.právy v obl.bydlení-Protidrog.politika,"Činnost ústředního orgánu státní správy v oblasti bydlení, komunálních služeb a územního rozvoje-Program protidrogové politiky"
366133,ÚOSS pro bydlení,Činn.ústř.org.stát.právy v obl.bydlení-Integr.romské kom.,"Činnost ústředního orgánu státní správy v oblasti bydlení, komunálních služeb a územního rozvoje-Podpora projektů integrace příslušníků romské komunity"
366134,ÚOSS pro bydlení,Činn.ústř.org.stát.právy v obl.bydlení-Příprava kriz.sit.,"Činnost ústředního orgánu státní správy v oblasti bydlení, komunálních služeb a územního rozvoje-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb."
3662,OOSS v bydlení,"Ostat. org. st. správy v oblasti bydlení, služeb","Činnost ostatních orgánů státní správy v oblasti bydlení, komunálních služeb a územního rozvoje"
366200,OOSS v bydlení,"Ostat. org. st. správy v oblasti bydlení, služeb","Činnost ostatních orgánů státní správy v oblasti bydlení, komunálních služeb a územního rozvoje"
366230,OOSS v bydlení,"Ost.org.st.správy v obl.bydlení, služeb-Zahr.rozvoj.spolup.","Činnost ostatních orgánů státní správy v oblasti bydlení, komunálních služeb a územního rozvoje-Zahraniční rozvojová spolupráce"
366231,OOSS v bydlení,"Ost.org.st.správy v obl.bydlení, služeb-Prevence soc.a krim","Činnost ostatních orgánů státní správy v oblasti bydlení, komunálních služeb a územního rozvoje-Program sociální prevence a prevence kriminality"
366232,OOSS v bydlení,"Ost.org.st.správy v obl.bydlení, služeb-Protidrog.politika","Činnost ostatních orgánů státní správy v oblasti bydlení, komunálních služeb a územního rozvoje-Program protidrogové politiky"
366233,OOSS v bydlení,"Ost.org.st.správy v obl.bydlení, služeb-Integr.romské kom.","Činnost ostatních orgánů státní správy v oblasti bydlení, komunálních služeb a územního rozvoje-Podpora projektů integrace příslušníků romské komunity"
366234,OOSS v bydlení,"Ost.org.st.správy v obl.bydlení, služeb-Příprava kriz.sit.","Činnost ostatních orgánů státní správy v oblasti bydlení, komunálních služeb a územního rozvoje-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb."
3669,Ost.spr. v bydl.,"Ostatní správa v oblasti bydlení, komun.služeb","Ostatní správa v oblasti v oblasti bydlení, komunálních služeb a územního rozvoje jinde nezařazená"
366900,Ost.spr. v bydl.,"Ostatní správa v oblasti bydlení, komun.služeb","Ostatní správa v oblasti v oblasti bydlení, komunálních služeb a územního rozvoje jinde nezařazená"
366930,Ost.spr. v bydl.,"Ost.správa v obl. bydlení, komun.služeb-Zahr.rozvoj.spolup.","Ostatní správa v oblasti v oblasti bydlení, komunálních služeb a územního rozvoje jinde nezařazená-Zahraniční rozvojová spolupráce"
366931,Ost.spr. v bydl.,"Ost.správa v obl. bydlení, komun.služeb-Prevence soc.a krim","Ostatní správa v oblasti v oblasti bydlení, komunálních služeb a územního rozvoje jinde nezařazená-Program sociální prevence a prevence kriminality"
366932,Ost.spr. v bydl.,"Ost.správa v obl. bydlení, komun.služeb-Protidrog.politika","Ostatní správa v oblasti v oblasti bydlení, komunálních služeb a územního rozvoje jinde nezařazená-Program protidrogové politiky"
366933,Ost.spr. v bydl.,"Ost.správa v obl. bydlení, komun.služeb-Integr.romské kom.","Ostatní správa v oblasti v oblasti bydlení, komunálních služeb a územního rozvoje jinde nezařazená-Podpora projektů integrace příslušníků romské komunity"
366934,Ost.spr. v bydl.,"Ost.správa v obl. bydlení, komun.služeb-Příprava kriz.sit.","Ostatní správa v oblasti v oblasti bydlení, komunálních služeb a územního rozvoje jinde nezařazená-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb."
368,VaV bydl.kom.sl.,"Výzkum a vývoj v oblasti bydlení, komun.služeb a úz.rozvoje","Výzkum a vývoj v oblasti bydlení, komunálních služeb a územního rozvoje"
3680,Výzk+výv.bydl.JN,"Výzk.a výv.v obl bydlení,kom.sl. a úz.rozvoje JN","Výzkum a vývoj v oblasti bydlení, komunálních služeb a územního rozvoje"
368000,Výzk+výv.bydl.JN,"Výzk.a výv.v obl bydlení,kom.sl. a úz.rozvoje JN","Výzkum a vývoj v oblasti bydlení, komunálních služeb a územního rozvoje"
368010,Výzk+výv.bydl.JN,"Výz.a výv.v obl bydl.,kom.sl. a úz.ro.JN-Inst.podp.výzk.org.","Výzkum a vývoj v oblasti bydlení, komunálních služeb a územního rozvoje-Institucionální podpora výzkumných organizací podle zhodnocení jimi dosažených výsledků            "
368011,Výzk+výv.bydl.JN,"Výz.a výv.v obl bydl.,kom.sl. a úz.ro.JN-Inst.podp.mezinár.","Výzkum a vývoj v oblasti bydlení, komunálních služeb a územního rozvoje-Institucionální podpora na mezinárodní spolupráci ČR ve výzkumu a vývoji"
368019,Výzk+výv.bydl.JN,"Výz.a výv.v obl bydl.,kom.sl. a úz.ro.JN-Ostat.instit.podp.","Výzkum a vývoj v oblasti bydlení, komunálních služeb a územního rozvoje-Ostatní institucionální (dopočet do PU)"
368020,Výzk+výv.bydl.JN,"Výz.a výv.v obl bydl.,kom.sl. a úz.ro.JN-Účel.podp.apl.VaVaI","Výzkum a vývoj v oblasti bydlení, komunálních služeb a územního rozvoje-Účelová podpora na programy aplikovaného výzkumu, vývoje a inovací"
368021,Výzk+výv.bydl.JN,"Výz.a výv.v obl bydl.,kom.sl. a úz.ro.JN-Účel.podp.VŠ výzkum","Výzkum a vývoj v oblasti bydlení, komunálních služeb a územního rozvoje-Účelová podpora na specifický vysokoškolský výzkum"
368029,Výzk+výv.bydl.JN,"Výz.a výv.v obl bydl.,kom.sl. a úz.ro.JN-Ostat.účel.podpora","Výzkum a vývoj v oblasti bydlení, komunálních služeb a územního rozvoje-Ostatní účelová podpora (dopočet do PU)"
369,Ost.činn.bydl.kom.sl,"Ost.činnost v oblasti bydlení, kom.služeb a územního rozvoje","Ostatní činnost v oblasti bydlení, komunálních služeb a územního rozvoje"
3691,Mez.spol.v bydl.,"Mez.spol.v obl.bydlení,kom.služeb a úz.rozvoje","Mezinárodní spolupráce v oblasti bydlení, komunálních služeb a územního rozvoje"
369100,Mez.spol.v bydl.,"Mez.spol.v obl.bydlení,kom.služeb a úz.rozvoje","Mezinárodní spolupráce v oblasti bydlení, komunálních služeb a územního rozvoje"
369130,Mez.spol.v bydl.,"Mez.spol.v obl.byd.,kom.služ. a úz.roz.-Zahr.rozvoj.spolup.","Mezinárodní spolupráce v oblasti bydlení, komunálních služeb a územního rozvoje-Zahraniční rozvojová spolupráce"
369131,Mez.spol.v bydl.,"Mez.spol.v obl.byd.,kom.služ. a úz.roz.-Prevence soc.a krim","Mezinárodní spolupráce v oblasti bydlení, komunálních služeb a územního rozvoje-Program sociální prevence a prevence kriminality"
