id,id_level,id_1,id_2,id_3,id_4,name_short,name,name_long
5168,4,5,51,516,5168,Zpracování dat,Zpracování dat a služby související s inf.a komunik.technol.,Zpracování dat a služby související s informačními a komunikačními technologiemi
5169,4,5,51,516,5169,Nákup ost.služeb,Nákup ostatních služeb,Nákup ostatních služeb
517,3,5,51,517,,Ostatní nákupy,Ostatní nákupy,Ostatní nákupy
5171,4,5,51,517,5171,Opravy a údržba,Opravy a udržování,Opravy a udržování
5172,4,5,51,517,5172,Programové vyb.,Programové vybavení,Programové vybavení
5173,4,5,51,517,5173,Cestovné,Cestovné (tuzemské i zahraniční),Cestovné (tuzemské i zahraniční)
5173,4,5,51,517,5173,Cestovné,Cestovné,Cestovné
5175,4,5,51,517,5175,Pohoštění,Pohoštění,Pohoštění
5176,4,5,51,517,5176,Popl. na konfer.,Účastnické poplatky na konference,Účastnické poplatky na konference
5177,4,5,51,517,5177,Nák.uměl.předm.,Nákup uměleckých předmětů,Nákup uměleckých předmětů
5177,4,5,51,517,5177,Neaktivní,Neaktivní,Neaktivní
5177,4,5,51,517,5177,Nákup archiválií,Nákup archiválií,Nákup archiválií
5178,4,5,51,517,5178,Náj.-fin.leasing,Nájemné za nájem s právem koupě,Nájemné za nájem s právem koupě
5179,4,5,51,517,5179,Ostatní nákupy,Ostatní nákupy jinde nezařazené,Ostatní nákupy jinde nezařazené
518,3,5,51,518,,Poskyt.zálohy,"Poskytnuté zálohy, jistiny, záruky a vládní úvěry","Poskytnuté zálohy, jistiny, záruky a vládní úvěry"
518,3,5,51,518,,Netransf. přev. org.,"Netransfer. převody uvnitř organizace, povinnosti a jistoty","Výdaje na netransferové převody uvnitř organizace, na převzaté povinnosti a na jistoty"
5181,4,5,51,518,5181,Posk zál.vnitř.,Poskytnuté zálohy vnitřním organizačním jednotkám,Poskytnuté zálohy vnitřním organizačním jednotkám
5181,4,5,51,518,5181,Převody vnitřním OJ,Převody vnitřním organizačním jednotkám,Převody vnitřním organizačním jednotkám
5182,4,5,51,518,5182,Zál.vl.pokladně,Poskytované zálohy vlastní pokladně,Poskytované zálohy vlastní pokladně
5182,4,5,51,518,5182,Převody vl. pokladně,Převody vlastní pokladně,Převody vlastní pokladně
5183,4,5,51,518,5183,V na záruky,Výdaje na realizaci záruk,Výdaje na realizaci záruk
5184,4,5,51,518,5184,Výdaje-vl.úvěry,Výdaje na vládní úvěry,Výdaje na vládní úvěry
5185,4,5,51,518,5185,Přev. do elektr.pen.,Převody do elektronických peněženek,Převody do elektronických peněženek
5189,4,5,51,518,5189,Ost. zálohy,Ostatní poskytované zálohy a jistiny,Ostatní poskytované zálohy a jistiny
5189,4,5,51,518,5189,Jistoty,Jistoty,Jistoty
519,3,5,51,519,,V souv.s nákupy,"Výdaje související s neinvestičními nákupy, příspěvky, náhra","Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary"
5191,4,5,51,519,5191,Zaplacené sankc,Zaplacené sankce,Zaplacené sankce
5192,4,5,51,519,5192,NeinvPřísp.náhr.,Poskytnuté neinvestiční příspěvky a náhrady (část),Poskytnuté neinvestiční příspěvky a náhrady (část)
5192,4,5,51,519,5192,Poskytnuté náhrady,Poskytnuté náhrady,Poskytnuté náhrady
5193,4,5,51,519,5193,Dopr.úz. obsluž.,Výdaje na dopravní územní obslužnost,Výdaje na dopravní územní obslužnost
5194,4,5,51,519,5194,Věcné dary,Věcné dary,Věcné dary
5195,4,5,51,519,5195,Odvody za zdr.p.,Odvody za neplnění povinnosti zaměstnávat zdravotně postižen,Odvody za neplnění povinnosti zaměstnávat zdravotně postižené
5196,4,5,51,519,5196,Náhr. úst.funkc.,Náhrady a příspěvky související s výkonem ústavní funkce a f,Náhrady a příspěvky související s výkonem ústavní funkce a funkce soudce
5197,4,5,51,519,5197,Náhrady- zahr.,Náhrady zvýšených nákladů spojených s výkonem funkce v zahra,Náhrady zvýšených nákladů spojených s výkonem funkce v zahraničí
5198,4,5,51,519,5198,Finan.náhrady církve,Finanční náhrady v rámci majetkového vyrovnání s církvemi,Finanční náhrady v rámci majetkového vyrovnání s církvemi
5199,4,5,51,519,5199,OstV s nákupy,Ostatní výdaje související s neinvestičními nákupy,Ostatní výdaje související s neinvestičními nákupy
52,2,5,52,,,NeinT soukr.PS,Neinvestiční transfery soukromoprávním subjektům,Neinvestiční transfery soukromoprávním subjektům
521,3,5,52,521,,Nein.T podnik.subj.,Neinvestiční transfery podnikatelským subjektům,Neinvestiční transfery podnikatelským subjektům
5211,4,5,52,521,5211,NeinvT Finst.,Neinvestiční transfery finančním institucím,Neinvestiční transfery finančním institucím
5212,4,5,52,521,5212,NeinvT nef. FO,Neinvestiční transfery nefinančním podnikatelskýmsubjektům-f,Neinvestiční transfery nefinančním podnikatelskýmsubjektům-fyzickým osobám
5213,4,5,52,521,5213,NeinvT nef.PrO,Neinvestiční transfery nefinančním podnikatelským subjektům-,Neinvestiční transfery nefinančním podnikatelským subjektům-právnickým osobám
5214,4,5,52,521,5214,NeinT s.fin.inst,Neinvestiční transfery finančním a podobným institucím ve vl,Neinvestiční transfery finančním a podobným institucím ve vlastnictví státu
5215,4,5,52,521,5215,NeinT PS-ST,Neinvestiční transfery vybraným podnikatelským subjektům ve,Neinvestiční transfery vybraným podnikatelským subjektům ve vlastnictví státu
