office_id,sector_id,type_id,amount
301,1037,533,22275000
301,1037,635,13000000
301,3325,533,167805753
301,3325,635,38840000
301,5199,635,60000000
301,6120,501,117364047
301,6120,502,7270621
301,6120,503,42532118
301,6120,504,865000
301,6120,513,1240000
301,6120,514,25000
301,6120,516,15276443
301,6120,517,6225000
301,6120,519,4521970
301,6120,534,1173640
301,6120,549,4900000
302,6111,501,243187695
302,6111,502,365583548
302,6111,503,204414678
302,6111,504,4090000
302,6111,512,100000
302,6111,513,46242000
302,6111,515,35890000
302,6111,516,372442969
302,6111,517,56525582
302,6111,518,1200000
302,6111,519,270103451
302,6111,534,2431877
302,6111,536,800000
302,6111,551,30000
302,6111,553,2200000
302,6111,554,240000
302,6111,581,17575000
302,6111,611,26500000
302,6111,612,66500000
303,6111,501,136228061
303,6111,502,149499069
303,6111,503,96550926
303,6111,504,5100000
303,6111,513,9701563
303,6111,514,400000
303,6111,515,17650000
303,6111,516,129922601
303,6111,517,30226987
303,6111,519,106445884
303,6111,534,1387127
303,6111,536,1860000
303,6111,551,1000000
303,6111,581,8500000
303,6111,611,300000
303,6111,612,24271000
304,3541,501,408000
304,3541,502,248000
304,3541,503,221728
304,3541,513,265000
304,3541,516,9986607
304,3541,517,20000
304,3541,522,315000000
304,3541,551,760000
304,6145,501,393140181
304,6145,502,63890048
304,6145,503,154459438
304,6145,504,15945121
304,6145,512,5000
304,6145,513,17943199
304,6145,514,140000
304,6145,515,17890000
304,6145,516,134434387
304,6145,517,160717300
304,6145,519,4858000
304,6145,522,73250000
304,6145,532,17750000
304,6145,534,3931403
304,6145,536,105000
304,6145,590,10000
304,6145,611,2300000
304,6145,612,112985467
304,6145,690,2000000
304,6180,501,18877229
304,6180,502,27600000
304,6180,503,15709303
304,6180,504,1510000
304,6180,513,10000
304,6180,516,2536978
304,6180,517,1970000
304,6180,534,188772
304,6180,549,1550000
304,6180,554,12000
305,5311,590,2248429858
305,5311,690,120000000
306,3341,516,35000000
306,5199,501,11211900
306,5199,503,3789622
306,5199,513,337500
306,5199,515,911000
306,5199,516,40114550
306,5199,517,1421000
